"Spartan Renewable Energy, Inc",D259C13F-7C56-4488-95EDB698C6B2BD18,11-10-2014T10:03,Energy Supplier
StarTex Power,D0AC6B72-BEB3-4B5D-851666E0B4E77200,11-10-2014T10:03,Energy Supplier
Suez Energy Resources North Am,438D180A-2A6E-4278-B2800100DA8B2489,11-10-2014T10:03,Energy Supplier
Summer Energy LLC,E74C4F16-D1C0-4A0A-91BFF19724504424,11-10-2014T10:03,Energy Supplier
Tara Energy Resources,F2D3C7E2-460A-4DDD-92102761E5E79C51,11-10-2014T10:03,Energy Supplier
Tenaska Power Services,D0D04CD2-FEAD-45CA-9526BA2B3B2CE042,11-10-2014T10:03,Energy Supplier
Texas General Land Office,6C391423-0726-49A6-8CCE3FFA4BDC64D5,11-10-2014T10:03,Energy Supplier
"Texas Power, LP",D5F34A3C-89DB-4CC3-A7C677893C39EB44,11-10-2014T10:03,Energy Supplier
"Texas Retail Energy, LLC",F2CBFEA6-AD9D-4136-9EA63FB05FA9D3EC,11-10-2014T10:03,Energy Supplier
"TransCanada Power Marketing, Ltd.",74022448-F4F0-467B-98A0503C3F5D4195,11-10-2014T10:03,Energy Supplier
"TriEagle Energy, L.P.",83A2618D-41C4-47F1-BC76FE35F0161E06,11-10-2014T10:03,Energy Supplier
True Electric LLC,895B2F8D-0845-4D15-9C12985664EE2431,11-10-2014T10:03,Energy Supplier
U.S. Energy Partners LLC,9FAF0BEF-17D9-4CDF-9D8D17DEB5FFC973,11-10-2014T10:03,Energy Supplier
"UP Power Marketing, LLC",CF874D1C-5E2B-4533-AE237CB7EFFB34EB,11-10-2014T10:03,Energy Supplier
"US Retailers, LLC",174A5A12-A2CC-41CF-83FB5B94E2401BC,11-10-2014T10:03,Energy Supplier
Veteran Energy LLC,A44E7445-FF7E-4362-BA31752206F276EF,11-10-2014T10:03,Energy Supplier
Village of Hilton,13C91D25-8970-407B-A249B158025FC970,11-10-2014T10:03,Energy Supplier
Viridian Energy LLC,C1262507-F1E3-4A55-944514AE03CA4109,11-10-2014T10:03,Energy Supplier
Withheld,FDBD08EE-4449-4A0E-A2FAFEF609EA70CA,11-10-2014T10:03,Energy Supplier
"Wolverine Alternative Investments, LLC",61D888EC-E065-48B0-BE319F36E8B2F083,11-10-2014T10:03,Energy Supplier
"WTU Energy, LP",D6BD6E42-3990-4528-B889ACD2B98124D4,11-10-2014T10:03,Energy Supplier
"Young Energy, LLC",7FD2FA6D-CA73-4202-AD6EDA2F29E5AC63,11-10-2014T10:03,Energy Supplier
American Power & Gas of PA,8202BFCC-20A8-4159-841CD2BAB2D797A0,11-17-2014T09:23,Energy Supplier
Maryland Energy,9A9DE619-2AF8-431B-88B4DCB250F8EF51,11-18-2014T09:48,Energy Supplier
